customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2824-AAAA,Male,0,Yes,Yes,14,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),104.52,1462.26,Yes
1106-BDHL,Male,0,Yes,Yes,44,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),62.31,2738.87,Yes
2139-CGOW,Male,0,No,No,30,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,No,Electronic check,60.81,1824.98,Yes
8573-DJVH,Female,0,No,No,29,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),68.28,1980.1,No
8517-EMCS,Male,0,Yes,No,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.06,673.86,Yes
2796-FPJD,Male,0,No,No,9,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),87.26,780.61,Yes
3927-GSQO,Male,1,Yes,No,26,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,No,Electronic check,82.35,2148.66,No
2403-HVXZ,Female,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),22.79,396.01,No
4295-IYEK,Female,0,No,No,67,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,77.19,5168.34,No
5562-JBLV,Female,0,Yes,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.54,1191.28,No
2612-KESG,Male,0,Yes,No,32,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Electronic check,65.91,2109.93,Yes
2528-LHZR,Male,0,No,Yes,52,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Credit card (automatic),45.97,2390.17,No
4566-MKGC,Male,0,No,No,8,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,107.34,853.64,Yes
2343-NNNN,Female,0,No,No,34,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),57.6,1959.15,Yes
3170-OQUY,Female,1,No,No,21,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,No,Electronic check,88.69,1856.7,Yes
5325-PTBJ,Female,0,No,Yes,55,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),62.89,3449.67,Yes
3426-QWIU,Female,0,Yes,No,6,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),92.15,557.63,Yes
7745-RZPF,Male,0,No,Yes,5,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,67.42,342.57,Yes
9346-SCWQ,Female,0,No,No,4,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,57.4,223.4,Yes
8144-TFDB,Male,0,No,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),17.75,469.5,No
7691-UIKM,Female,0,Yes,Yes,54,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),73.93,3991.06,No
9375-VLRX,Female,0,No,No,11,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),81.61,896.82,No
4185-WOYI,Female,0,Yes,No,1,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),102.93,104.84,No
8251-XRFT,Female,0,No,No,61,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.44,1123.64,No
4841-YUME,Female,0,No,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,71.62,1441.32,Yes
7232-ZXTP,Female,0,Yes,No,54,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,No,Bank transfer (automatic),72.04,3898.55,No
9751-AAAA,Male,1,No,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.73,213.78,Yes
5558-BDHL,Female,0,Yes,Yes,70,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,82.69,5797.26,No
5198-CGOW,Female,0,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.06,325.06,Yes
4249-DJVH,Male,0,No,Yes,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,20.97,809.21,No
1207-EMCS,Female,0,Yes,No,59,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Electronic check,47.29,2784.99,No
7209-FPJD,Female,0,No,Yes,28,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),90.88,2544.46,No
2524-GSQO,Female,0,No,No,48,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,66.46,3199.1,Yes
4138-HVXZ,Male,0,Yes,No,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.25,1437.53,Yes
1893-IYEK,Female,0,Yes,No,63,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,82.39,5190.4,Yes
1878-JBLV,Male,0,No,No,32,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),71.44,2295.03,Yes
4457-KESG,Female,0,Yes,Yes,10,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),77.54,781.16,No
4241-LHZR,Female,0,Yes,Yes,35,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,No,Mailed check,49.96,1740.21,Yes
8078-MKGC,Female,0,Yes,Yes,3,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.95,201.67,Yes
6460-NNNN,Female,0,No,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.94,1221.56,No
9431-OQUY,Male,0,No,No,25,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Electronic check,80.78,2025.49,No
6091-PTBJ,Male,0,Yes,No,15,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Mailed check,69.3,1047.94,No
3236-QWIU,Male,0,No,No,65,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,52.6,3426.39,No
4912-RZPF,Female,0,No,Yes,61,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Mailed check,89.74,5478.59,No
3529-SCWQ,Male,0,No,No,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,21.31,1092.0,No
1588-TFDB,Male,0,No,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.0,535.99,Yes
6314-UIKM,Male,0,Yes,Yes,68,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,72.06,4906.17,No
9955-VLRX,Male,0,No,No,39,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),82.96,3231.34,No
7484-WOYI,Female,0,No,No,7,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,One year,No,Bank transfer (automatic),82.03,576.77,No
1645-XRFT,Female,0,Yes,No,17,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),59.89,1024.26,No
6549-YUME,Male,0,Yes,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),17.08,496.05,No
5295-ZXTP,Female,0,No,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),22.46,669.84,Yes
3290-AAAA,Male,1,Yes,No,13,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Electronic check,81.14,1049.17,Yes
4868-BDHL,Female,0,No,No,46,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,80.39,3689.31,No
4394-CGOW,Male,0,Yes,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.2,14.84,Yes
4898-DJVH,Female,0,Yes,Yes,54,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,84.87,4581.01,Yes
9032-EMCS,Female,0,Yes,No,9,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,91.96,825.61,Yes
6120-FPJD,Female,0,Yes,No,61,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),69.54,4250.26,Yes
5712-GSQO,Female,0,No,Yes,62,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Bank transfer (automatic),82.17,5090.01,No
6567-HVXZ,Female,0,No,No,52,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),60.41,3133.02,Yes
3579-IYEK,Male,0,Yes,No,63,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,57.91,3639.43,Yes
4460-JBLV,Male,0,Yes,Yes,64,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),65.45,4190.27,No
7843-KESG,Female,0,Yes,No,59,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Two year,No,Electronic check,66.67,3925.06,No
9693-LHZR,Male,1,Yes,No,19,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,67.54,1284.55,No
6295-MKGC,Female,0,Yes,No,39,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),92.86,3613.35,Yes
7299-NNNN,Female,0,No,No,6,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),62.23,377.53,No
9586-OQUY,Male,0,No,No,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,21.07,922.76,No
3463-PTBJ,Female,0,No,No,40,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Credit card (automatic),71.43,2860.91,No
7937-QWIU,Female,0,Yes,No,44,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),90.16,3970.28,No
3147-RZPF,Female,0,Yes,No,22,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,92.01,2021.58,No
8218-SCWQ,Female,0,No,No,54,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,15.85,863.38,No
2680-TFDB,Male,0,No,Yes,66,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,62.49,4118.83,Yes
2623-UIKM,Female,0,Yes,Yes,61,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),85.65,5223.12,No
4893-VLRX,Female,0,Yes,No,59,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,90.99,5360.12,No
2108-WOYI,Male,0,Yes,No,48,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),88.05,4231.98,Yes
8840-XRFT,Male,0,Yes,No,59,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,54.14,3199.88,No
6438-YUME,Female,0,Yes,No,57,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),61.93,3530.92,No
2311-ZXTP,Female,0,Yes,No,55,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Mailed check,91.5,5025.7,Yes
8179-AAAA,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),83.5,3916.77,No
9176-BDHL,Female,1,Yes,No,58,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),91.86,5337.23,No
6692-CGOW,Male,0,Yes,Yes,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,17.83,380.24,Yes
7044-DJVH,Female,0,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),21.94,254.76,No
2215-EMCS,Female,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.08,6333.5,No
2292-FPJD,Female,0,No,Yes,39,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),98.59,3839.23,Yes
1496-GSQO,Female,1,No,No,39,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,62.17,2421.02,No
6658-HVXZ,Female,0,Yes,No,41,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),67.41,2770.08,No
6123-IYEK,Male,0,No,No,64,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),65.93,4218.93,No
2761-JBLV,Female,0,Yes,No,52,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Credit card (automatic),56.08,2908.54,No
7453-KESG,Female,0,Yes,No,19,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,82.59,1565.58,Yes
5902-LHZR,Female,0,No,No,39,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),75.47,2947.76,No
3793-MKGC,Female,0,No,Yes,15,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),67.99,1019.42,No
3837-NNNN,Female,1,Yes,No,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),22.89,783.68,No
9011-OQUY,Female,0,No,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),17.88,634.52,No
2294-PTBJ,Female,1,No,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.52,569.41,No
9700-QWIU,Male,0,Yes,No,61,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),57.54,3511.42,No
1611-RZPF,Male,0,No,No,5,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Credit card (automatic),78.71,403.33,Yes
9092-SCWQ,Male,1,Yes,Yes,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,No,Mailed check,94.57,1415.11,Yes
2562-TFDB,Male,1,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Electronic check,68.84,66.95,Yes
6095-UIKM,Male,0,No,No,29,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),85.15,2469.91,Yes
2838-VLRX,Male,0,No,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.93,1383.15,No
1911-WOYI,Female,0,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,92.36,6657.8,No
8734-XRFT,Male,0,Yes,Yes,54,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,86.37,4658.43,Yes
1372-YUME,Female,0,No,No,49,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),88.44,4324.91,No
8314-ZXTP,Male,0,Yes,No,70,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,No,Mailed check,59.48,4159.1,No
3869-AAAA,Female,0,Yes,No,49,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),77.87,3814.89,Yes
7761-BDHL,Female,0,Yes,Yes,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.14,485.15,No
1647-CGOW,Male,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.62,1637.88,Yes
8846-DJVH,Male,0,No,No,31,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,67.04,2086.53,Yes
7781-EMCS,Male,0,Yes,Yes,34,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One year,No,Mailed check,66.58,2263.49,No
9037-FPJD,Female,0,No,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.74,6973.01,Yes
8916-GSQO,Female,0,No,No,3,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),93.51,277.62,Yes
2294-HVXZ,Female,1,Yes,Yes,29,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,75.0,2173.68,Yes
2562-IYEK,Male,0,No,No,61,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),94.39,5749.33,Yes
4939-JBLV,Female,0,No,No,18,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),94.38,1704.31,Yes
5478-KESG,Female,0,Yes,No,56,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,69.34,3880.25,Yes
6050-LHZR,Female,0,Yes,Yes,24,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,67.41,1625.94,No
9537-MKGC,Male,0,Yes,Yes,35,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),55.56,1938.51,Yes
5991-NNNN,Male,1,Yes,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,18.92,822.51,No
6147-OQUY,Male,1,No,Yes,63,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),14.19,902.61,Yes
9939-PTBJ,Male,0,No,No,60,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),56.73,3395.28,No
8851-QWIU,Female,0,No,No,54,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),102.8,5547.83,No
2735-RZPF,Male,0,Yes,No,72,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),77.7,5603.21,Yes
6110-SCWQ,Female,0,Yes,No,61,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),68.46,4169.55,No
7985-TFDB,Female,0,Yes,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Electronic check,82.61,4633.6,Yes
6340-UIKM,Male,0,Yes,No,68,No,No phone service,DSL,No,No,Yes,No,No,No,One year,No,Bank transfer (automatic),43.78,2979.33,Yes
3194-VLRX,Female,0,Yes,Yes,19,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.71,1695.56,Yes
1157-WOYI,Female,0,No,No,65,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,88.35,5738.52,No
9115-XRFT,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,87.17,4088.73,No
2923-YUME,Male,0,No,No,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.19,1112.39,No
5794-ZXTP,Female,0,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,22.2,283.59,No
5055-AAAA,Female,0,No,Yes,54,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),71.4,3860.22,Yes
6869-BDHL,Male,0,Yes,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.91,554.35,No
1793-CGOW,Male,0,No,No,16,No,No phone service,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,60.93,969.89,Yes
